AgroClimaticZone,District,Station,Item,Year,avg_temp,average_rain_fall_mm_per_year,avg_humidity_percent,wind_speed_m_s,solar_radiation_mj_m2,soil_moisture_percent,soil_ph,organic_carbon_percent,fertilizer_n_kg_per_ha,fertilizer_p_kg_per_ha,fertilizer_k_kg_per_ha,pesticides_tonnes,rainfall_variability,drought_flag,flood_flag,hg_ha_yield
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2000,18.53,3276.2,96.1,2.28,12.3,45.0,5.48,0.603,72.0,59.9,47.4,0.844,3.26,0,1,646.0
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2001,18.54,3142.3,93.0,2.27,15.06,45.0,6.93,0.488,109.0,70.9,36.2,0.866,19.02,0,1,709.1
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2002,17.28,3133.8,97.0,1.52,20.58,45.0,6.08,1.05,132.9,33.4,46.1,1.073,17.23,0,1,591.6
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2003,18.58,3269.7,97.0,2.13,18.61,45.0,6.46,0.413,92.6,51.5,58.5,1.244,10.42,0,1,706.6
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2004,19.39,2658.0,92.1,2.53,21.77,45.0,6.24,0.576,102.5,82.4,38.6,0.809,20.48,0,0,1312.4
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2005,18.5,2860.0,97.0,2.29,21.5,45.0,6.39,0.784,99.8,73.9,44.9,1.075,10.61,0,1,822.1
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2006,16.89,2648.1,92.9,1.97,18.49,45.0,5.98,0.525,116.2,63.9,42.4,0.838,22.57,0,0,817.4
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2007,17.64,3098.0,97.0,1.86,18.78,45.0,6.89,0.689,112.7,44.4,43.2,0.301,11.57,0,1,542.0
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2008,16.46,3311.0,94.2,3.13,15.46,45.0,6.47,0.343,147.5,81.0,44.0,0.818,17.4,0,1,390.8
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2009,20.04,2991.4,97.0,2.04,16.12,45.0,7.03,0.619,139.0,55.2,34.6,0.802,15.0,0,1,996.3
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2010,18.45,3047.3,92.4,2.04,22.96,45.0,5.87,0.717,152.2,28.8,41.9,0.71,7.79,0,1,730.5
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2011,18.87,3132.7,97.0,2.92,16.38,45.0,5.85,0.407,150.1,45.9,49.4,0.89,15.71,0,1,737.7
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2012,19.62,3046.8,97.0,2.62,21.53,45.0,6.59,0.537,68.5,72.1,59.5,0.858,21.61,0,1,950.2
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2013,19.87,3328.2,97.0,3.66,14.26,45.0,6.65,0.825,166.4,81.7,27.8,0.393,23.26,0,1,888.0
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2014,18.97,3309.4,94.8,1.12,18.78,45.0,6.28,0.658,84.2,27.8,42.5,0.608,8.5,0,1,740.6
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2015,18.95,3209.8,97.0,2.14,15.0,45.0,6.5,0.493,120.7,61.1,75.4,0.482,23.69,0,1,754.8
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2016,19.03,2782.8,94.0,3.12,17.75,45.0,6.25,0.881,109.4,15.4,34.6,0.309,3.0,0,1,759.6
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2017,20.54,3127.1,94.9,1.94,21.39,45.0,6.42,0.639,111.2,69.5,53.3,0.965,12.1,0,1,1164.8
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2018,18.35,3367.8,97.0,2.5,17.98,45.0,7.26,0.942,96.1,68.9,50.7,0.116,19.86,0,1,618.1
